name,rounds,avg_mbps,multi_mbps,min_mbps,stability,avg_latency_ms,loss_pct,stalls,consistency,score,grade,verdict
直连(无代理),1,48.63,,38.36,0.79,,,0,,91,S,优秀·4K高码率
【SVIP】香港 5 专线,1,18.48,30.90,6.63,0.36,97,,0,,72,B,良好·1080p高码/4K低码
