name,rounds,avg_mbps,multi_mbps,min_mbps,stability,avg_latency_ms,loss_pct,stalls,consistency,score,grade,verdict
【SVIP】香港 5 专线,1,25.04,36.73,22.79,0.91,97,,0,,98,S,良好·1080p高码/4K低码
直连(无代理),1,42.95,,38.81,0.90,,,0,,91,S,优秀·4K高码率
