name,rounds,avg_mbps,multi_mbps,min_mbps,stability,avg_latency_ms,loss_pct,stalls,consistency,score,grade,verdict
直连(无代理),1,43.56,,36.67,0.84,,,0,,91,S,优秀·4K高码率
【SVIP】香港 5 专线,1,24.85,33.62,10.33,0.42,94,,0,,89,A,良好·1080p高码/4K低码
